year,company,model,fuel,km,price(L)
2002,Maruti Suzuki,Zen,Petrol,120000,1.15
2002,Maruti Suzuki,Zen,Petrol,176000,0.5
2002,Maruti Suzuki,Zen,Petrol,70000,0.45
2002,Maruti Suzuki,Zen,Petrol,130000,0.7
2002,Mitsubishi,Lancer,Petrol,109150,1
2002,Mitsubishi,Lancer,Diesel,100000,1.6
2002,Toyota,Camry,Petrol,37449,12.5
2002,Toyota,Cynos,Petrol,10000,20
2002,Toyota,Cynos,Petrol,725958,0.5
2002,Toyota,Qualis,Diesel,150000,2.5
2002,Toyota,Qualis,Diesel,270000,1.75
2002,Toyota,Qualis,Diesel,41077,1.5
2002,Toyota,Qualis,Diesel,137809,3
2002,Toyota,Qualis,Diesel,89000,1.8
2002,Toyota,Qualis,Diesel,333142,1.2
2002,Toyota,Qualis,Diesel,70000,2.2
2002,Toyota,Sera,Petrol,140,3
2003,Chevrolet,Optra,Petrol,108000,2.1
2003,Fiat,Palio,Petrol,86000,0.8
2003,Fiat,Palio,Petrol,110008,0.6
2003,Ford,Ikon,Petrol,118000,1.05
2003,Ford,Ikon,Petrol,70000,0.9
2003,Ford,Ikon,Petrol,64248,0.68
2003,Ford,Ikon,Petrol,38000,2
2003,Honda,Accord,Petrol,125000,0.8
2003,Honda,Accord,Petrol,60000,3
2003,Honda,Accord,Petrol,162000,3
2003,Hyundai,Accent,Petrol,30000,1.4
2003,Hyundai,Sonata,Petrol,115000,2
2003,Hyundai,Sonata,Petrol,60000,3.22
2003,Mahindra,Armada,Diesel,123000,5
2003,Mahindra,Marshal,Diesel,150000,4.5
2003,Mahindra,Marshal,Diesel,50000,1
2003,Mahindra,Marshal,Diesel,50000,3
2003,Maruti Suzuki,1000,Petrol,120000,0.55
2003,Maruti Suzuki,1000,Petrol,22222,4
2003,Maruti Suzuki,1000,Petrol,200,5
2003,Maruti Suzuki,1000,Petrol,9999,0.5
2003,Maruti Suzuki,1000,Petrol,250,1
2003,Maruti Suzuki,1000,Petrol,10000,5
2003,Maruti Suzuki,1000,Petrol,100,0.5
2003,Maruti Suzuki,800,Petrol,35000,0.55
2003,Maruti Suzuki,800,Petrol,9000,1
2003,Maruti Suzuki,800,Petrol,48700,1
2003,Maruti Suzuki,800,Petrol,55000,0.5
2003,Maruti Suzuki,800,Petrol,130000,0.5
2003,Maruti Suzuki,800,Petrol,12590,0.85
2003,Maruti Suzuki,800,Petrol,6363,0.86712
2003,Maruti Suzuki,800,Petrol,65000,0.65
2003,Maruti Suzuki,800,Petrol,100000,1
2003,Maruti Suzuki,800,Petrol,75000,1.1
2003,Maruti Suzuki,800,Petrol,68500,1
2003,Maruti Suzuki,800,Petrol,12000,0.75
2003,Maruti Suzuki,800,Petrol,65000,0.5
2003,Maruti Suzuki,800,Petrol,64000,0.35
2003,Maruti Suzuki,800,Petrol,38000,0.4
2003,Maruti Suzuki,800,Petrol,110000,0.35
2003,Maruti Suzuki,800,Petrol,40000,0.5
2003,Maruti Suzuki,Baleno,Petrol,100,10
2003,Maruti Suzuki,Esteem,Petrol,2003,8.34
2003,Maruti Suzuki,Grand Vitara,Petrol,258,6
2003,Maruti Suzuki,Grand Vitara,Petrol,100,4
2003,Maruti Suzuki,Grand Vitara,Petrol,170000,3.5
2003,Maruti Suzuki,Gypsy,Petrol,15000,3.5
2003,Maruti Suzuki,Gypsy,Petrol,50000,2.29
